Crops,0,1,2,3,4,5,6
Bulb_Onions,20,20,20,20,7,8,9
Salad_Onions,20,20,20,20,7,8,9
Leeks,20,20,20,20,7,8,9
Courgette,1000,1000,1000,1000,7,8,9
Asparagus,1000,1000,1000,1000,7,8,9
Brussels_Sprouts,1000,1000,1000,1000,7,8,9
Storage_Cabbage,20,20,20,20,7,8,9
Head_Cabbage,20,20,20,20,7,8,9
Collards,20,20,20,20,7,8,9
Cauliflower_Summer,20,20,20,20,7,8,9
Cauliflower_Winter,20,20,20,20,7,8,9
Calabresea,20,20,20,20,7,8,9
Celery,1000,1000,1000,1000,7,8,9
Peas,20,20,20,20,7,8,9
Broad_Beans,20,20,20,20,7,8,9
Radish,20,20,20,20,7,8,9
Sweetcorn,20,20,20,20,7,8,9
Lettuce_Whole,20,20,20,20,7,8,9
Lettuce_Baby,1000,1000,1000,1000,7,8,9
Rocket,1000,1000,1000,1000,7,8,9
Beetroot,1000,1000,1000,1000,7,8,9
Swedes,20,20,20,20,7,8,9
Turnips,20,20,20,20,7,8,9
Parsnips,20,20,20,20,7,8,9
Carrot,20,20,20,20,7,8,9
Bulbs,20,20,20,20,7,8,9
Coriander,20,20,20,20,7,8,9
Mint,20,20,20,20,7,8,9
