Crops,0,1,2,3,4,5,6
Bulb_Onions,20,20,20,20,5,6,7
Salad_Onions,20,20,20,20,5,6,7
Leeks,20,20,20,20,5,6,7
Courgette,1000,1000,1000,1000,5,6,7
Asparagus,1000,1000,1000,1000,5,6,7
Brussels_Sprouts,1000,1000,1000,1000,5,6,7
Storage_Cabbage,20,20,20,20,5,6,7
Head_Cabbage,20,20,20,20,5,6,7
Collards,20,20,20,20,5,6,7
Cauliflower_Summer,20,20,20,20,5,6,7
Cauliflower_Winter,20,20,20,20,5,6,7
Calabresea,20,20,20,20,5,6,7
Celery,1000,1000,1000,1000,5,6,7
Peas,20,20,20,20,5,6,7
Broad_Beans,20,20,20,20,5,6,7
Radish,20,20,20,20,5,6,7
Sweetcorn,20,20,20,20,5,6,7
Lettuce_Whole,20,20,20,20,5,6,7
Lettuce_Baby,1000,1000,1000,1000,5,6,7
Rocket,1000,1000,1000,1000,5,6,7
Beetroot,1000,1000,1000,1000,5,6,7
Swedes,20,20,20,20,5,6,7
Turnips,20,20,20,20,5,6,7
Parsnips,20,20,20,20,5,6,7
Carrot,20,20,20,20,5,6,7
Bulbs,1000,1000,1000,1000,5,6,7
Coriander,20,20,20,20,5,6,7
Mint,20,20,20,20,5,6,7
