Crops,0,1,2,3,4,5,6
Bulb_Onions,20,20,20,20,6,7,8
Salad_Onions,20,20,20,20,6,7,8
Leeks,20,20,20,20,6,7,8
Courgette,1000,1000,1000,1000,6,7,8
Asparagus,1000,1000,1000,1000,6,7,8
Brussels_Sprouts,1000,1000,1000,1000,6,7,8
Storage_Cabbage,20,20,20,20,6,7,8
Head_Cabbage,20,20,20,20,6,7,8
Collards,20,20,20,20,6,7,8
Cauliflower_Summer,20,20,20,20,6,7,8
Cauliflower_Winter,20,20,20,20,6,7,8
Calabresea,20,20,20,20,6,7,8
Celery,1000,1000,1000,1000,6,7,8
Peas,20,20,20,20,6,7,8
Broad_Beans,20,20,20,20,6,7,8
Radish,20,20,20,20,6,7,8
Sweetcorn,20,20,20,20,6,7,8
Lettuce_Whole,20,20,20,20,6,7,8
Lettuce_Baby,1000,1000,1000,1000,6,7,8
Rocket,1000,1000,1000,1000,6,7,8
Beetroot,1000,1000,1000,1000,6,7,8
Swedes,20,20,20,20,6,7,8
Turnips,20,20,20,20,6,7,8
Parsnips,20,20,20,20,6,7,8
Carrot,20,20,20,20,6,7,8
Bulbs,1000,1000,1000,1000,6,7,8
Coriander,20,20,20,20,6,7,8
Mint,20,20,20,20,6,7,8
